38-41,38-38
94-97,41-95
67-95,5-67
8-80,17-78
69-74,15-71
27-54,55-58
8-90,7-91
9-96,6-97
2-99,3-33
1-2,5-85
54-68,54-67
46-91,81-92
6-45,46-46
7-78,3-58
20-83,82-84
26-82,10-27
45-72,9-72
2-80,3-77
96-97,50-91
46-62,46-62
1-18,1-2
1-99,1-97
9-97,8-97
43-45,43-47
10-87,10-11
30-31,31-54
6-10,9-98
46-95,35-96
13-85,84-86
10-85,10-85
85-97,27-63
1-95,98-99
3-35,4-36
21-84,98-98
85-85,44-85
42-84,38-82
2-52,1-99
14-86,38-95
24-30,25-30
76-93,25-75
6-98,3-99
10-66,9-66
83-85,25-84
8-9,8-11
16-81,16-93
5-66,3-66
26-64,33-63
32-42,33-65
78-85,77-94
99-99,96-99
12-90,8-91
34-35,35-84
79-96,97-97
18-93,17-94
26-93,25-94
12-67,12-12
26-97,26-95
3-41,2-42
37-44,43-44
17-64,11-78
3-94,3-94
5-53,1-1
34-78,77-90
29-66,65-66
23-40,12-41
8-19,19-79
45-84,37-44
2-87,86-88
38-79,37-68
19-30,20-75
3-78,39-78
9-84,84-84
16-59,15-58
37-83,42-84
49-88,50-89
32-97,33-99
31-76,30-68
10-66,5-67
25-97,26-97
40-84,39-85
37-52,37-53
11-13,12-91
25-64,24-54
4-69,69-70
9-97,8-97
7-43,7-43
9-68,14-69
17-90,17-90
21-88,20-89
10-57,20-56
12-88,97-99
32-98,31-98
45-64,65-74
59-60,58-62
9-41,10-41
3-9,7-10
32-51,32-51
48-97,48-73
15-79,58-80
4-9,12-76
24-77,39-78
6-82,5-6
28-50,27-49
40-72,39-72
24-37,36-38
14-96,5-95
88-95,36-87
22-85,22-27
10-98,4-97
46-89,46-89
22-94,6-23
3-43,3-97
29-42,24-43
2-92,92-92
27-98,26-98
2-87,2-94
87-89,59-87
29-29,29-83
33-33,34-42
7-85,8-86
20-20,14-21
22-22,22-34
7-68,27-68
5-54,6-53
12-91,11-90
54-81,54-81
2-95,1-95
6-55,6-54
49-92,91-95
5-90,4-91
30-84,32-83
13-61,12-60
11-98,26-98
7-76,77-77
4-37,37-38
71-81,81-81
6-58,58-70
31-83,30-31
48-56,49-55
4-98,8-97
3-69,16-68
40-41,13-40
60-60,61-76
38-38,13-38
37-97,36-54
65-65,1-65
18-18,18-90
87-87,8-87
6-98,64-71
79-90,8-80
11-44,12-69
12-90,64-91
6-75,5-6
18-90,58-91
67-92,33-93
95-96,1-96
73-91,90-93
84-94,17-94
25-62,28-84
26-27,27-71
94-98,17-95
33-96,95-95
1-2,1-91
25-28,26-26
28-85,84-92
91-96,48-87
46-93,95-97
4-98,97-99
51-63,52-61
56-89,6-55
5-93,2-94
9-93,6-8
6-53,5-52
70-92,91-91
28-98,27-95
3-45,45-55
1-55,1-54
75-82,74-81
52-91,11-51
29-82,25-81
32-71,53-72
31-72,32-71
2-99,4-97
54-79,54-80
89-96,80-90
4-4,5-93
63-65,9-64
9-58,10-25
14-72,4-76
23-58,24-59
96-99,4-95
17-17,18-80
6-29,13-30
97-99,9-98
97-99,21-96
44-46,43-53
87-89,36-88
42-89,19-90
12-12,10-14
22-77,23-77
81-83,3-82
47-47,3-47
16-79,15-80
25-30,12-24
3-94,94-94
34-64,33-63
24-85,24-85
52-54,40-53
63-88,62-62
12-75,12-12
11-63,39-64
95-95,12-95
89-91,88-98
59-83,9-60
97-99,1-98
22-98,28-82
96-97,44-94
5-88,3-91
53-85,52-84
50-88,48-71
5-95,94-95
71-72,29-71
18-96,97-97
39-41,49-59
46-72,11-47
34-49,34-49
88-90,75-89
2-94,1-92
66-96,65-66
29-82,3-81
19-86,87-91
65-68,5-30
66-85,66-85
6-87,87-90
26-88,27-88
6-19,18-19
20-83,21-82
32-56,25-32
37-77,38-77
1-36,1-36
11-59,10-60
81-92,30-91
21-77,2-20
80-82,14-81
1-43,44-99
1-2,3-79
21-92,93-93
1-77,69-97
70-90,90-91
10-44,6-9
63-90,14-90
64-75,63-76
72-95,36-95
1-2,4-90
23-50,22-51
12-81,18-82
12-13,12-90
29-83,29-30
2-97,1-96
7-96,95-97
15-96,16-97
1-1,1-83
43-53,42-53
14-26,15-64
12-94,13-85
40-40,40-46
13-25,14-22
90-94,90-94
9-91,12-26
4-96,97-97
1-8,7-58
27-92,74-91
27-90,90-91
19-99,16-18
42-87,41-88
51-85,36-52
7-94,4-6
2-43,2-3
26-92,27-96
7-87,8-88
2-97,10-37
2-90,1-2
31-78,77-77
1-97,99-99
67-90,89-98
45-51,44-85
70-97,69-97
71-94,95-96
1-82,6-81
3-77,46-77
4-90,3-3
57-71,56-70
68-98,68-69
50-70,51-70
94-97,62-95
13-94,94-96
13-92,14-14
67-99,68-98
9-9,22-94
21-91,91-94
37-78,37-79
21-84,22-22
27-39,40-99
26-86,25-74
1-4,2-24
5-50,51-94
9-10,9-76
70-73,73-73
69-87,25-68
34-85,34-86
44-64,63-90
58-59,58-58
45-98,47-99
4-6,10-44
31-82,54-81
20-58,19-58
12-68,12-13
64-64,54-64
19-23,18-22
60-67,59-67
7-7,6-96
14-37,37-38
28-88,66-96
72-90,45-57
50-97,19-97
6-29,6-29
15-43,15-43
14-82,82-82
10-64,8-8
70-82,80-83
11-97,10-98
23-77,24-77
6-84,6-6
98-99,5-98
65-65,65-72
48-73,13-88
41-65,40-46
50-81,12-82
42-44,43-43
55-89,63-90
4-77,76-76
37-92,38-75
60-62,15-61
12-95,96-98
19-92,20-91
4-56,1-57
27-94,48-94
85-88,77-84
58-59,12-59
1-65,51-66
70-72,4-70
86-86,15-85
78-99,99-99
7-8,7-94
23-88,23-87
69-77,77-83
39-75,40-75
1-94,2-95
32-79,31-80
31-43,32-43
34-37,33-38
68-92,67-93
37-85,33-84
26-59,25-60
53-76,54-54
25-94,94-95
39-72,72-72
16-17,17-17
4-98,98-98
1-48,1-2
90-92,28-94
77-77,65-78
19-60,60-61
15-98,16-99
25-92,25-93
13-85,12-86
6-57,57-57
88-94,56-87
66-83,84-84
88-90,57-89
11-11,10-63
20-46,21-47
25-31,29-32
7-94,6-95
8-69,8-50
32-86,33-86
19-98,99-99
38-58,37-59
19-38,39-88
7-88,2-6
16-93,17-99
41-95,42-94
52-54,51-98
10-89,89-90
50-95,26-94
87-88,13-88
7-90,7-90
78-96,86-98
26-98,42-99
7-75,6-76
4-5,4-96
10-62,10-63
21-95,95-95
39-98,26-40
15-16,10-16
59-60,17-60
56-80,48-55
6-22,7-9
27-82,33-81
77-87,38-86
96-97,34-97
6-60,6-6
73-77,71-77
9-88,9-89
51-76,53-75
12-89,13-83
5-99,4-4
7-96,5-96
27-43,22-25
6-24,4-4
91-91,3-92
97-98,22-98
44-77,76-77
27-49,18-28
10-93,12-89
7-72,8-8
26-70,21-25
96-97,15-96
8-92,6-7
7-62,32-63
34-74,21-33
9-94,10-94
10-74,49-75
20-20,21-41
28-78,29-81
75-85,76-84
66-66,41-67
66-66,10-65
18-95,17-96
18-94,18-94
72-72,6-72
18-77,17-76
2-98,3-98
23-87,24-29
16-62,63-73
13-88,9-12
17-34,11-35
29-82,28-78
44-87,86-87
40-60,39-39
5-5,8-28
4-86,47-87
60-89,60-89
48-87,49-87
76-91,77-83
30-57,29-56
58-96,18-59
15-63,14-91
35-82,16-46
14-14,15-75
80-81,3-80
21-22,20-93
49-86,87-87
2-2,4-76
52-78,77-79
13-57,65-68
51-67,48-50
3-85,5-84
4-97,1-98
21-31,32-32
26-94,25-25
6-37,6-37
16-98,15-98
5-86,85-85
38-98,5-98
16-18,31-68
50-63,51-99
43-58,42-58
5-93,5-94
15-76,64-76
29-68,29-68
6-30,30-30
51-52,52-60
31-55,56-83
62-88,88-88
36-75,74-74
53-72,54-54
67-86,68-87
50-83,2-90
14-94,14-15
49-66,32-67
3-81,16-60
47-86,48-92
3-99,4-99
60-94,59-59
24-49,6-50
8-8,9-94
90-93,1-88
21-72,71-73
95-95,12-86
64-64,10-64
1-99,1-99
57-67,64-68
17-18,17-57
2-71,70-93
3-86,4-86
30-80,30-80
3-77,76-77
45-55,45-55
46-77,65-81
1-97,1-98
53-68,52-67
16-33,32-59
93-95,70-94
8-85,86-92
19-90,89-91
83-93,94-99
45-45,46-90
58-68,57-69
27-34,28-30
94-95,1-94
33-79,30-78
61-61,24-61
82-83,59-82
81-83,80-83
22-68,96-97
82-82,17-81
43-53,43-43
13-62,14-37
68-85,67-88
32-88,32-38
63-70,52-62
52-52,51-52
2-57,57-86
21-88,21-22
28-29,28-67
37-90,37-91
4-94,3-3
13-76,13-76
9-23,22-86
84-84,24-84
50-85,49-49
15-52,14-14
24-53,30-49
25-65,25-65
1-87,3-88
14-41,14-41
34-97,35-98
10-80,10-75
2-67,19-68
16-94,15-82
17-54,25-55
17-66,66-77
10-92,91-93
10-90,10-11
64-66,18-65
16-37,15-38
4-83,6-84
4-82,3-60
62-74,63-85
10-62,9-63
54-93,53-92
48-59,60-77
9-73,72-74
17-24,25-82
32-73,31-40
13-43,13-44
37-38,71-80
96-99,84-97
8-58,32-58
11-57,5-58
63-98,62-92
